Roll:-0.41, Pitch: 3.41, Yaw:32.38 leftForearm |
Roll:179.50, Pitch:23.29, Yaw:-107.10 leftForearm |
Roll:175.93, Pitch:-1.00, Yaw:-109.04 leftForearm |
Roll:171.49, Pitch:-15.09, Yaw:-106.84 leftForearm |
Roll:167.55, Pitch:-27.28, Yaw:-106.69 leftForearm |
Roll:161.82, Pitch:-39.38, Yaw:-105.62 leftForearm |
Roll:158.79, Pitch:-43.41, Yaw:-104.11 leftForearm |
Roll:158.76, Pitch:-43.52, Yaw:-104.00 leftForearm |
Roll:160.37, Pitch:-41.90, Yaw:-104.94 leftForearm |
Roll:163.26, Pitch:-37.81, Yaw:-106.32 leftForearm |
Roll:166.22, Pitch:-31.94, Yaw:-106.68 leftForearm |
Roll:-165.08, Pitch:34.18, Yaw:-92.90 leftForearm |
Roll:-138.91, Pitch:54.27, Yaw:-68.93 leftForearm |
Roll:-60.78, Pitch:62.42, Yaw: 6.07 leftForearm |
Roll:-38.06, Pitch:57.12, Yaw:29.52 leftForearm |
Roll:-20.61, Pitch:53.24, Yaw:50.64 leftForearm |
Roll:-8.14, Pitch:55.42, Yaw:64.21 leftForearm |
Roll: 3.66, Pitch:58.87, Yaw:76.59 leftForearm |
Roll:22.51, Pitch:56.93, Yaw:96.93 leftForearm |
Roll:31.88, Pitch:56.65, Yaw:105.55 leftForearm |
Roll:38.96, Pitch:55.06, Yaw:110.73 leftForearm |
Roll:43.12, Pitch:50.63, Yaw:110.51 leftForearm |
Roll:42.86, Pitch:45.35, Yaw:111.33 leftForearm |
Roll:20.60, Pitch:55.50, Yaw:106.00 leftForearm |
Roll: 4.79, Pitch:50.31, Yaw:94.73 leftForearm |
Roll:-0.67, Pitch:47.35, Yaw:88.55 leftForearm |
Roll: 9.65, Pitch: 6.43, Yaw:68.62 leftForearm |
Roll:-0.38, Pitch: 3.45, Yaw:67.88 leftForearm |
Roll:-0.25, Pitch: 1.91, Yaw:68.99 leftForearm |
Roll:-0.21, Pitch: 1.91, Yaw:68.99 leftForearm |
Roll:-0.19, Pitch: 1.90, Yaw:68.99 leftForearm |
Roll:-0.16, Pitch: 1.88, Yaw:68.98 leftForearm |
Roll:-0.13, Pitch: 1.88, Yaw:68.97 leftForearm |
Roll:-0.11, Pitch: 1.88, Yaw:68.97 leftForearm |
Roll:-0.09, Pitch: 1.87, Yaw:68.97 leftForearm |
Roll:-0.07, Pitch: 1.86, Yaw:68.96 leftForearm |
Roll:-0.06, Pitch: 1.86, Yaw:68.96 leftForearm |
Roll:-0.04, Pitch: 1.86, Yaw:68.95 leftForearm |
Roll:-0.03, Pitch: 1.86, Yaw:68.95 leftForearm |
Roll:-0.01, Pitch: 1.86, Yaw:68.95 leftForearm |
Roll:-0.00, Pitch: 1.85, Yaw:68.95 leftForearm |
Roll: 0.01, Pitch: 1.85, Yaw:68.94 leftForearm |
Roll: 0.02, Pitch: 1.85, Yaw:68.93 leftForearm |
Roll: 0.04, Pitch: 1.85, Yaw:68.93 leftForearm |
Roll: 0.05, Pitch: 1.84, Yaw:68.92 leftForearm |
Roll: 0.06, Pitch: 1.83, Yaw:68.92 leftForearm |
Roll: 0.07, Pitch: 1.83, Yaw:68.92 leftForearm |
Roll: 0.08, Pitch: 1.82, Yaw:68.91 leftForearm |
Roll: 0.09, Pitch: 1.82, Yaw:68.91 leftForearm |
Roll: 0.10, Pitch: 1.81, Yaw:68.90 leftForearm |
Roll: 0.11, Pitch: 1.80, Yaw:68.89 leftForearm |
Roll: 0.12, Pitch: 1.80, Yaw:68.89 leftForearm |
Roll: 0.13, Pitch: 1.79, Yaw:68.88 leftForearm |
Roll: 0.13, Pitch: 1.79, Yaw:68.88 leftForearm |
Roll: 0.14, Pitch: 1.79, Yaw:68.87 leftForearm |
Roll: 0.15, Pitch: 1.79, Yaw:68.86 leftForearm |
Roll: 0.16, Pitch: 1.79, Yaw:68.86 leftForearm |
Roll: 0.28, Pitch: 1.62, Yaw:69.64 leftForearm |
Roll: 0.28, Pitch: 1.62, Yaw:69.64 leftForearm |
Roll: 0.28, Pitch: 1.62, Yaw:69.64 leftForearm |
Roll: 0.28, Pitch: 1.61, Yaw:69.64 leftForearm |
